AuthorID,Author,KatAuthor,RomAuthor
1,あべ弘士,アベヒロシ,ABEHIROSHI
2,阿部和広,アベカズヒロ,ABEKAZUHIRO
3,阿部夏丸,アベナツマル,ABENATSUMARU
4,阿部知二,アベトモジ,ABETOMOJI
5,あだちなみ,アダチナミ,ADACHINAMI
6,アガサ・クリスティー,アガサ・クリスティー,AGASA・KURISUTEI
7,阿川弘之,アガワヒロユキ,AGAWAHIROYUKI
8,あいはらひろゆき,アイハラヒロユキ,AIHARAHIROYUKI
9,赤羽末吉,アカバネスエキチ,AKABANESUEKICHI
10,赤川次郎,アカガワジロウ,AKAGAWAJIRO
11,赤坂行雄,アカサカユキオ,AKASAKAYUKIO
12,赤塚不二夫,アカツカフジオ,AKATSUKAFUJIO
13,明橋大二,アケハシダイニ,AKEHASHIDAINI
14,秋木真,アキモクシン,AKIMOKUSHIN
15,秋山仁,アキヤマジン,AKIYAMAJIN
16,秋山風三郎,アキヤマカゼサブロウ,AKIYAMAKAZESABURO
17,あきやまかぜさぶろう,アキヤマカゼサブロウ,AKIYAMAKAZESABURO
18,あきやまただし,アキヤマタダシ,AKIYAMATADASHI
19,芥川龍之介,アクタガワリュウノスケ,AKUTAGAWARYUNOSUKE
20,あまんきみこ,アマンキミコ,AMANKIMIKO
21,天野慶,アマノイワイ,AMANOIWAI
22,天沼春樹,アマヌマハルキ,AMANUMAHARUKI
23,あんびるやすこ,アンビルヤスコ,AMBIRUYASUKO
24,網野善彦,アミノヨシヒコ,AMINOYOSHIHIKO
25,アンデルセン,アンデルセン,ANDERUSEN
26,安東次男,アンドウジナン,ANDOJINAN
27,安藤由紀,アンドウユキ,ANDOYUKI
28,アントゥーンクリングス,アントゥーン クリングス,ANTON KURINGUSU
29,安西水丸,アンザイミズマル,ANZAIMIZUMARU
30,あおきひろえ,アオキヒロエ,AOKIHIROE
31,あおきてつお,アオキテツオ,AOKITETSUO
32,粟生こずえ,アオコズエ,AOKOZUE
33,青山剛昌,アオヤマゴウショウ,AOYAMAGOSHO
34,荒井良二,アライリョウジ,ARAIRYOJI
35,新井康允,アライヤスタネ,ARAIYASUTANE
36,新井洋行,アライヨウコウ,ARAIYOKO
37,荒木飛呂彦,アラキヒロヒコ,ARAKIHIROHIKO
38,荒俣宏,アラマタコウ,ARAMATAKO
39,アラン・アルバーグ,アラン・アルバーグ,ARAN・ARUBAGU
40,有賀忍,アリガニン,ARIGANIN
41,有木昭久,アリキアキヒサ,ARIKIAKIHISA
42,有沢重雄,アリサワシゲオ,ARISAWASHIGEO
43,アリソン・アトリー,アリソン・アトリー,ARISON・ATORI
44,アルフ・プリョイセン,アルフ・プリョイセン,ARUFU・PURYOISEN
45,アーサー・ビナード,アーサー・ビナード,ASA・BINADO
46,アーサー・コナン・ドイル,アーサー・コナン・ドイル,ASA・KONAN・DOIRU
47,あさばみゆき,アサバミユキ,ASABAMIYUKI
48,朝日小学生新聞,アサヒショウガクセイシンブン,ASAHISHOGAKUSEISHIMBUN
49,浅川満,アサカワマン,ASAKAWAMAN
50,朝倉仁,アサクラジン,ASAKURAJIN
51,朝倉世界一,アサクラセカイイチ,ASAKURASEKAIICHI
52,あさのあつこ,アサノアツコ,ASANOATSUKO
53,あさりよしとお,アサリヨシトオ,ASARIYOSHITO
54,芦辺拓,アシベタク,ASHIBETAKU
55,安房直子,アワナオコ,AWANAOKO
56,文響社編集,アヤヒビキシャヘンシュウ,AYAHIBIKISHAHENSHU
57,馬場のぼる,ババノボル,BABANOBORU
58,バーバラ・クーニー,バーバラ・クーニー,BABARA・KUNI
59,バーバラクーニー,バーバラクーニー,BABARAKUNI
60,馬場保仁,ババヤスヒト,BABAYASUHITO
61,バージニア・リー・バートン,バージニア・リー・バートン,BAJINIA・RI・BATON
62,坂東元,バンドウモト,BANDOMOTO
63,原ゆたか,バラユタカ,BARAYUTAKA
64,芭蕉みどり,バショウミドリ,BASHOMIDORI
65,葉祥明,バヨシアキ,BAYOSHIAKI
66,ビアトリクス・ポター,ビアトリクス・ポター,BIATORIKUSU・POTA
67,開一夫,ビラキイップ,BIRAKIIPPU
68,ビル・マーチン,ビル・マーチン,BIRU・MACHIN
69,武鹿悦子,ブシカエツコ,BUSHIKAETSUKO
70,千葉幹夫,チバミキオ,CHIBAMIKIO
71,千葉茂樹,チバシゲキ,CHIBASHIGEKI
72,近田文弘,チカダフミヒロ,CHIKADAFUMIHIRO
73,長新太,チョウアラタ,CHOARATA
74,ダイアナ・ウィン・ジョーンズ,ダイアナ・ウィン・ジョーンズ,DAIANA・UIN・JONZU
75,ダンヤッカリーノ,ダンヤッカリーノ,DANYAKKARINO
76,ダレン・シャン,ダレン・シャン,DAREN・SHAN
77,俵万智,ダワラマチ,DAWARAMACHI
78,太宰治,ダザイチ,DAZAICHI
79,デヴィッド・カリ,デヴィッド・カリ,DEBUIDDO・KARI
80,出口汪,デグチヒロシ,DEGUCHIHIROSHI
81,ディック・ブルーナ,ディック・ブルーナ,DEIKKU・BURUNA
82,どいかや,ドイカヤ,DOIKAYA
83,土方久功,ドカタヒサノリ,DOKATAHISANORI
84,エアーダイブ,エアーダイブ,EADAIBU
85,越前敏弥,エチゼントシヤ,ECHIZENTOSHIYA
86,江戸川乱歩,エドガワランポ,EDOGAWARAMPO
87,エドワード・アーディゾーニ,エドワード・アーディゾーニ,EDOWADO・ADEIZONI
88,エドワード・ゴーリー,エドワード・ゴーリー,EDOWADO・GORI
89,江口寿子,エグチヒサコ,EGUCHIHISAKO
90,江國香織,エグニカオリ,EGUNIKAORI
91,エイミー・クラウス・ローゼンタール,エイミー・クラウス・ローゼンタール,EIMI・KURAUSU・ROZENTARU
92,エマ・ゴールドホーク,エマ・ゴールドホーク,EMA・GORUDOHOKU
93,エミリー・ロッダ,エミリー・ロッダ,EMIRI・RODDA
94,遠藤蓉子,エンドウヨウコ,ENDOYOKO
95,エンリケ・バリオス,エンリケ・バリオス,ENRIKE・BARIOSU
96,エリック・ヒル,エリック・ヒル,ERIKKU・HIRU
97,エリック・カール,エリック・カール,ERIKKU・KARU
98,エリックリトウィン,エリックリトウィン,ERIKKURITOIN
99,フチモトムネジ,フチモトムネジ,FUCHIMOTOMUNEJI
100,フィオナワット,フィオナワット,FUIONAWATTO
101,フィリパ・ピアス,フィリパ・ピアス,FUIRIPA・PIASU
102,藤ダリオ,フジダリオ,FUJIDARIO
103,藤江じゅん,フジエジュン,FUJIEJUN
104,藤井旭,フジイアサヒ,FUJIIASAHI
105,藤子・F・不二雄,フジコ・F・フジオ,FUJIKO・F・FUJIO
106,藤子不二雄,フジコフジオ,FUJIKOFUJIO
107,藤真知子,フジマトモコ,FUJIMATOMOKO
108,藤本ひとみ,フジモトヒトミ,FUJIMOTOHITOMI
109,藤本ともひこ,フジモトトモヒコ,FUJIMOTOTOMOHIKO
110,藤野恵美,フジノメグミ,FUJINOMEGUMI
111,藤城清治,フジシロキヨジ,FUJISHIROKIYOJI
112,藤田香,フジタコウ,FUJITAKO
113,藤田新策,フジタシンサク,FUJITASHINSAKU
114,深谷圭助,フカヤケイスケ,FUKAYAKEISUKE
115,吹浦忠正,フキウラタダマサ,FUKIURATADAMASA
116,蕗沢忠枝,フキザワタダエ,FUKIZAWATADAE
117,福田淳子,フクダアツコ,FUKUDAATSUKO
118,福田尚弘,フクダナオヒロ,FUKUDANAOHIRO
119,福川祐司,フクガワユウジ,FUKUGAWAYUJI
120,福本友美子,フクモトユミコ,FUKUMOTOYUMIKO
121,福永令三,フクナガレイゾウ,FUKUNAGAREIZO
122,福岡伸一,フクオカシンイチ,FUKUOKASHINICHI
123,福島宏之,フクシマヒロシ,FUKUSHIMAHIROSHI
124,文平玲子,フミヒラレイコ,FUMIHIRAREIKO
125,舟崎克彦,フナサキカツヒコ,FUNASAKIKATSUHIKO
126,フランシス・ホジソンバーネット,フランシス・ホジソンバーネット,FURANSHISU・HOJISOMBANETTO
127,古舘春一,フルダテハルイチ,FURUDATEHARUICHI
128,古田足日,フルタタルヒ,FURUTATARUHI
129,ふしみみさを,フシミミサヲ,FUSHIMIMISAO
130,二木真希子,フタツギマキコ,FUTATSUGIMAKIKO
131,ガブリエル・バンサン,ガブリエル・バンサン,GABURIERU・BANSAN
132,ガブリエル・ゼヴィン,ガブリエル・ゼヴィン,GABURIERU・ZEBUIN
133,甲斐望,ガイモチ,GAIMOCHI
134,甲斐睦朗,ガイムツロウ,GAIMUTSURO
135,甲斐信枝,ガイノブエ,GAINOBUE
136,学研プラス,ガッケンプラス,GAKKEMPURASU
137,元永定正,ゲンエイサダマサ,GENEISADAMASA
138,ゲオルグ・ハレンスレーベン,ゲオルグ・ハレンスレーベン,GEORUGU・HARENSUREBEN
139,五味太郎,ゴミタロウ,GOMITARO
140,ゴムドリco.,ゴムドリco.,GOMUDORICO.
141,後藤竜二,ゴトウリュウジ,GOTORYUJI
142,グリム兄弟,グリムキョウダイ,GURIMUKYODAI
143,グループ・コロンブス,グループ・コロンブス,GURUPU・KOROMBUSU
144,ぐるーぷアンモナイツ,グループアンモナイツ,GURUPUAMMONAITSU
145,グループコロンブス,グループコロンブス,GURUPUKOROMBUSU
146,蜂飼耳,ハチカイミミ,HACHIKAIMIMI
147,灰島かり,ハイジマカリ,HAIJIMAKARI
148,灰谷健次郎,ハイタニケンジロウ,HAITANIKENJIRO
149,浜田広介,ハマダヒロスケ,HAMADAHIROSUKE
150,浜田桂子,ハマダケイコ,HAMADAKEIKO
151,ハマダルコラ,ハマダルコラ,HAMADARUKORA
152,ハンス・マグヌス・エンツェンスベルガー,ハンス・マグヌス・エンツェンスベルガー,HANSU・MAGUNUSU・ENTSUENSUBERUGA
153,羽生善治,ハニュウゼンジ,HANYUZENJI
154,祓川学,ハライカワガク,HARAIKAWAGAKU
155,原ゆたか,ハラユタカ,HARAYUTAKA
156,原ゆたか,ハラユタカ,HARAYUTAKA
157,ハリエット・ビーチャー・ストウ,ハリエット・ビーチャー・ストウ,HARIETTO・BICHA・SUTO
158,長谷川彰,ハセガワアキラ,HASEGAWAAKIRA
159,長谷川法世,ハセガワホウセイ,HASEGAWAHOSEI
160,長谷川摂子,ハセガワセツコ,HASEGAWASETSUKO
161,長谷川集平,ハセガワシュウヘイ,HASEGAWASHUHEI
162,長谷川知子,ハセガワトモコ,HASEGAWATOMOKO
163,長谷川義史,ハセガワヨシフミ,HASEGAWAYOSHIFUMI
164,橋本治,ハシモトチ,HASHIMOTOCHI
165,橋本恵,ハシモトメグ,HASHIMOTOMEGU
166,橋爪香織,ハシヅメカオリ,HASHIZUMEKAORI
167,幡地英明,ハタジヒデアキ,HATAJIHIDEAKI
168,はたこうしろう,ハタコウシロウ,HATAKOSHIRO
169,早川純子,ハヤカワジュンコ,HAYAKAWAJUNKO
170,はやみねかおる,ハヤミネカオル,HAYAMINEKAORU
171,早野美智代,ハヤノミチヨ,HAYANOMICHIYO
172,平野昭,ヘイヤアキラ,HEIYAAKIRA
173,平野恵理子,ヘイヤエリコ,HEIYAERIKO
174,平野レミ,ヘイヤレミ,HEIYAREMI
175,日高敏隆,ヒダカトシタカ,HIDAKATOSHITAKA
176,左巻健男,ヒダリマキタケオ,HIDARIMAKITAKEO
177,ヒド・ファン・ヘネヒテン,ヒド・ファン・ヘネヒテン,HIDO・FUAN・HENEHITEN
178,東田大志,ヒガシダタイシ,HIGASHIDATAISHI
179,東君平,ヒガシキミヒラ,HIGASHIKIMIHIRA
180,東雅夫,ヒガシマサオ,HIGASHIMASAO
181,東直子,ヒガシナオコ,HIGASHINAOKO
182,東多江子,ヒガシタエコ,HIGASHITAEKO
183,比嘉富子,ヒガトミコ,HIGATOMIKO
184,樋口清之,ヒグチキヨシ,HIGUCHIKIYOSHI
185,ヒグチユウコ,ヒグチユウコ,HIGUCHIYUKO
186,日暮雅通,ヒグラシマサミチ,HIGURASHIMASAMICHI
187,柊あおい,ヒイラギアオイ,HIIRAGIAOI
188,ひきたよしあき,ヒキタヨシアキ,HIKITAYOSHIAKI
189,日向理恵子,ヒナタリエコ,HINATARIEKO
190,日野原重明,ヒノハラシゲアキ,HINOHARASHIGEAKI
191,ひらいたかこ,ヒライタカコ,HIRAITAKAKO
192,ひらのゆきこ,ヒラノユキコ,HIRANOYUKIKO
193,平田昌広,ヒラタマサヒロ,HIRATAMASAHIRO
194,平田昭吾,ヒラタショウゴ,HIRATASHOGO
195,平山英三,ヒラヤマエイゾウ,HIRAYAMAEIZO
196,平山和子,ヒラヤマワコ,HIRAYAMAWAKO
197,ひろかわさえこ,ヒロカワサエコ,HIROKAWASAEKO
198,広瀬弦,ヒロセゲン,HIROSEGEN
199,廣嶋玲子,ヒロシマレイコ,HIROSHIMAREIKO
200,洪在徹,ヒロシザイトオル,HIROSHIZAITORU
201,蛭海隆志,ヒルウミタカシ,HIRUMITAKASHI
202,ヒサクニヒコ,ヒサクニヒコ,HISAKUNIHIKO
203,菱木晃子,ヒシキアキラコ,HISHIKIAKIRAKO
204,穂高順也,ホダカジュンヤ,HODAKAJUNYA
205,本間正夫,ホンママサオ,HOMMAMASAO
206,本田有明,ホンダアリアケ,HONDAARIAKE
207,堀川理万子,ホリカワリマンコ,HORIKAWARIMANKO
208,堀ノ内雅一,ホリノウチマサイチ,HORINOCHIMASAICHI
209,星井博文,ホシイヒロフミ,HOSHIIHIROFUMI
210,星新一,ホシシンイチ,HOSHISHINICHI
211,細谷亮太,ホソヤリョウタ,HOSOYARYOTA
212,峯陽一,ホウヨウイチ,HOYOICHI
213,ヒュ−・ロフティング,ヒュ－・ロフティング,HYU－・ROFUTEINGU
214,茨木のり子,イバラキノリコ,IBARAKINORIKO
215,井伏鱒二,イブセマス,IBUSEMASU
216,市原淳,イチハラジュン,ICHIHARAJUN
217,出久根育,イデクネハグクミ,IDEKUNEHAGUKUMI
218,五十嵐大介,イガラシダイスケ,IGARASHIDAISUKE
219,飯間浩明,イイマヒロアキ,IIMAHIROAKI
220,飯野和好,イイノカズヨシ,IINOKAZUYOSHI
221,池田晶子,イケダアキコ,IKEDAAKIKO
222,池田香代子,イケダカヨコ,IKEDAKAYOKO
223,池田紅玉,イケダコウギョク,IKEDAKOGYOKU
224,池田まき子,イケダマキコ,IKEDAMAKIKO
225,池田奈々子,イケダナナコ,IKEDANANAKO
226,池上彰,イケガミアキラ,IKEGAMIAKIRA
227,池上俊一,イケガミシュンイチ,IKEGAMISHUNICHI
228,池谷裕二,イケタニユウジ,IKETANIYUJI
229,池内紀,イケウチオサム,IKEUCHIOSAMU
230,池内了,イケウチリョウ,IKEUCHIRYO
231,池澤夏樹,イケザワナツキ,IKEZAWANATSUKI
232,今江祥智,イマエヨシトモ,IMAEYOSHITOMO
233,今泉忠明,イマイズミタダアキ,IMAIZUMITADAAKI
234,今泉吉晴,イマイズミヨシハル,IMAIZUMIYOSHIHARU
235,今森光彦,イマモリテルヒコ,IMAMORITERUHIKO
236,今西祐行,イマニシヒロユキ,IMANISHIHIROYUKI
237,今西乃子,イマニシノリコ,IMANISHINORIKO
238,いもとようこ,イモトヨウコ,IMOTOYOKO
239,猪熊葉子,イノクマヨウコ,INOKUMAYOKO
240,井上憲雄,イノウエノリオ,INOUENORIO
241,井上雄彦,イノウエタケヒコ,INOUETAKEHIKO
242,井上洋介,イノウエヨウスケ,INOUEYOSUKE
243,いぬいとみこ,イヌイトミコ,INUITOMIKO
244,入江久絵,イリエヒサエ,IRIEHISAE
245,伊勢英子,イセエイコ,ISEIKO
246,いしばしなおこ,イシバシナオコ,ISHIBASHINAOKO
247,石倉ヒロユキ,イシグラヒロユキ,ISHIGURAHIROYUKI
248,石黒圭,イシグロケイ,ISHIGUROKEI
249,石原恒和,イシハラツネカズ,ISHIHARATSUNEKAZU
250,石井聖岳,イシイヒジリダケ,ISHIIHIJIRIDAKE
251,石井美樹子,イシイミキコ,ISHIIMIKIKO
252,石井桃子,イシイモモコ,ISHIIMOMOKO
253,いしいももこ,イシイモモコ,ISHIIMOMOKO
254,石井睦美,イシイムツミ,ISHIIMUTSUMI
255,石川憲二,イシカワケンジ,ISHIKAWAKENJI
256,いしかわこうじ,イシカワコウジ,ISHIKAWAKOJI
257,いしかわまりこ,イシカワマリコ,ISHIKAWAMARIKO
258,石川直樹,イシカワナオキ,ISHIKAWANAOKI
259,石ノ森章太郎,イシノモリショウタロウ,ISHINOMORISHOTARO
260,石崎洋司,イシザキヒロシ,ISHIZAKIHIROSHI
261,石津ちひろ,イシヅチヒロ,ISHIZUCHIHIRO
262,いしづちひろ,イシヅチヒロ,ISHIZUCHIHIRO
263,イソップ,イソップ,ISOPPU
264,板倉聖宣,イタグラキヨノブ,ITAGURAKIYONOBU
265,いとうひろし,イトウヒロシ,ITOHIROSHI
266,糸井重里,イトイシゲサト,ITOISHIGESATO
267,伊東美貴,イトウミキ,ITOMIKI
268,いとうみく,イトウミク,ITOMIKU
269,伊東信夫,イトウノブオ,ITONOBUO
270,井辻朱美,イツジアケミ,ITSUJIAKEMI
271,岩淵慶造,イワブチケイゾウ,IWABUCHIKEIZO
272,岩井俊雄,イワイトシオ,IWAITOSHIO
273,いわいとしお,イワイトシオ,IWAITOSHIO
274,いわむらかずお,イワムラカズオ,IWAMURAKAZUO
275,岩貞るみこ,イワサダルミコ,IWASADARUMIKO
276,岩崎ちひろ,イワサキチヒロ,IWASAKICHIHIRO
277,岩崎美奈子,イワサキミナコ,IWASAKIMINAKO
278,岩佐めぐみ,イワサメグミ,IWASAMEGUMI
279,伊豆平成,イズヘイセイ,IZUHEISEI
280,ジャック・デュケノワ,ジャック・デュケノワ,JAKKU・DEYUKENOWA
281,JamesMatthewBarrie,JamesMatthewBarrie,JAMESMATTHEWBARRIE
282,ジェフ・キニー,ジェフ・キニー,JIEFU・KINI
283,ジェズ・オールバラ,ジェズ・オールバラ,JIEZU・ORUBARA
284,ジーン・ジオン,ジーン・ジオン,JIN・JION
285,神宮輝夫,ジングウテルオ,JINGUTERUO
286,ジョン・バーニンガム,ジョン・バーニンガム,JON・BANINGAMU
287,ジョン・グリシャム,ジョン・グリシャム,JON・GURISHAMU
288,ジョナサンラングレー,ジョナサンラングレー,JONASANRANGURE
289,ジュール・ヴェルヌ,ジュール・ヴェルヌ,JURU・BUERUNU
290,住滝良,ジュウタキリョウ,JUTAKIRYO
291,角野栄子,カドノエイコ,KADONOEIKO
292,各務三郎,カガミサブロウ,KAGAMISABURO
293,香川元太郎,カガワゲンタロウ,KAGAWAGENTARO
294,かがわけいこ,カガワケイコ,KAGAWAKEIKO
295,陰山英男,カゲヤマヒデオ,KAGEYAMAHIDEO
296,神楽坂淳,カグラザカジュン,KAGURAZAKAJUN
297,貝田桃子,カイタモモコ,KAITAMOMOKO
298,梶山俊夫,カジヤマトシオ,KAJIYAMATOSHIO
299,掛川恭子,カケガワヤスコ,KAKEGAWAYASUKO
300,垣内磯子,カキウチイソゴ,KAKIUCHIISOGO
301,加古里子,カコサトゴ,KAKOSATOGO
302,かこさとし,カコサトシ,KAKOSATOSHI
303,角田光代,カクダミツヨ,KAKUDAMITSUYO
304,加来耕三,カクコウゾウ,KAKUKOZO
305,鎌田歩,カマタホ,KAMATAHO
306,亀井よし子,カメイヨシコ,KAMEIYOSHIKO
307,かみやしん,カミヤシン,KAMIYASHIN
308,金谷俊一郎,カナタニシュンイチロウ,KANATANISHUNICHIRO
309,苅田澄子,カンダスミコ,KANDASUMIKO
310,金原瑞人,カネハラハシト,KANEHARAHASHITO
311,金原瑞人,カネハラミズヒト,KANEHARAMIZUHITO
312,金政郁,カネマサイク,KANEMASAIKU
313,漢字塾太郎,カンジジュクタロウ,KANJIJUKUTARO
314,加納喜光,カノウヨシミツ,KANOYOSHIMITSU
315,神沢利子,カンザワリシ,KANZAWARISHI
316,神沢利子,カンザワトシコ,KANZAWATOSHIKO
317,唐沢則幸,カラサワノリユキ,KARASAWANORIYUKI
318,カール=ヨハン・エリーン,カール=ヨハン・エリーン,KARU=YOHAN・ERIN
319,カルロ・コッローディ,カルロ・コッローディ,KARURO・KORRODEI
320,笠原一男,カサハライチナン,KASAHARAICHINAN
